geneSet_id,gene_symbol
HALLMARK_INFLAMMATORY_RESPONSE,MYD88
HALLMARK_INFLAMMATORY_RESPONSE,TLR4
HALLMARK_INFLAMMATORY_RESPONSE,NLRP3
HALLMARK_TNFA_SIGNALING_VIA_NFKB,NFKB1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,RELA
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNF
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFAIP3
HALLMARK_TNFA_SIGNALING_VIA_NFKB,ICAM1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,IL6
HALLMARK_TNFA_SIGNALING_VIA_NFKB,IL8
HALLMARK_TNFA_SIGNALING_VIA_NFKB,CCL2
HALLMARK_TNFA_SIGNALING_VIA_NFKB,VCAM1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,PTGS2
HALLMARK_TNFA_SIGNALING_VIA_NFKB,BCL2A1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,BIRC3
HALLMARK_TNFA_SIGNALING_VIA_NFKB,CXCL1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TRAF1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,MMP9
HALLMARK_MYC_TARGETS_V1,MYC
HALLMARK_MYC_TARGETS_V1,NPM1
HALLMARK_MYC_TARGETS_V1,NCL
HALLMARK_MYC_TARGETS_V1,RPS6
HALLMARK_MYC_TARGETS_V1,RPL5
HALLMARK_MYC_TARGETS_V1,CCND1
HALLMARK_MYC_TARGETS_V1,CDK4
HALLMARK_MYC_TARGETS_V1,LDHA
HALLMARK_MYC_TARGETS_V1,TERT
HALLMARK_MYC_TARGETS_V1,EIF4E
HALLMARK_MYC_TARGETS_V1,PCNA
HALLMARK_MYC_TARGETS_V1,HSP90AA1
HALLMARK_MYC_TARGETS_V1,POLD1
HALLMARK_MYC_TARGETS_V1,ODC1
HALLMARK_MYC_TARGETS_V1,NME1
HALLMARK_E2F_TARGETS,E2F1
HALLMARK_E2F_TARGETS,E2F2
HALLMARK_E2F_TARGETS,E2F3
HALLMARK_E2F_TARGETS,CCNE1
HALLMARK_E2F_TARGETS,CCNA2
HALLMARK_E2F_TARGETS,CDK2
HALLMARK_E2F_TARGETS,PCNA
HALLMARK_E2F_TARGETS,MCM2
HALLMARK_E2F_TARGETS,MCM4
HALLMARK_E2F_TARGETS,RRM1
HALLMARK_E2F_TARGETS,TYMS
HALLMARK_E2F_TARGETS,DHFR
HALLMARK_E2F_TARGETS,TOP2A
HALLMARK_E2F_TARGETS,CDC6
HALLMARK_E2F_TARGETS,POLE
HALLMARK_P53_PATHWAY,TP53
HALLMARK_P53_PATHWAY,CDKN1A
HALLMARK_P53_PATHWAY,MDM2
HALLMARK_P53_PATHWAY,BAX
HALLMARK_P53_PATHWAY,PUMA
HALLMARK_P53_PATHWAY,NOXA
HALLMARK_P53_PATHWAY,GADD45A
HALLMARK_P53_PATHWAY,RRM2B
HALLMARK_P53_PATHWAY,SESN1
HALLMARK_P53_PATHWAY,TIGAR
HALLMARK_P53_PATHWAY,BBC3
HALLMARK_P53_PATHWAY,FAS
HALLMARK_P53_PATHWAY,PERP
HALLMARK_P53_PATHWAY,DRAM1
HALLMARK_P53_PATHWAY,TP53I3
HALLMARK_MTORC1_SIGNALING,MTOR
HALLMARK_MTORC1_SIGNALING,RPTOR
HALLMARK_MTORC1_SIGNALING,RPS6KB1
HALLMARK_MTORC1_SIGNALING,EIF4EBP1
HALLMARK_MTORC1_SIGNALING,SREBF1
HALLMARK_MTORC1_SIGNALING,HIF1A
HALLMARK_MTORC1_SIGNALING,MYC
HALLMARK_MTORC1_SIGNALING,VEGFA
HALLMARK_MTORC1_SIGNALING,ULK1
HALLMARK_MTORC1_SIGNALING,ATG13
HALLMARK_MTORC1_SIGNALING,PRKAA1
HALLMARK_MTORC1_SIGNALING,TSC1
HALLMARK_MTORC1_SIGNALING,TSC2
HALLMARK_MTORC1_SIGNALING,RHEB
HALLMARK_MTORC1_SIGNALING,LAMTOR1
