,phase,library
SRR11286478,G1-G0 transition,U2OS
SRR11286479,S,U2OS
SRR11286480,G2M,U2OS
SRR11286482,G1-G0 transition,U2OS
SRR11286483,G1-G0 transition,U2OS
SRR11286484,G2M,U2OS
SRR11286485,G1,U2OS
SRR11286486,G2M,U2OS
SRR11286487,G1,U2OS
SRR11286489,G1,U2OS
SRR11286490,S,U2OS
SRR11286491,G2M,U2OS
SRR11286492,G1-G0 transition,U2OS
SRR11286493,G2M,U2OS
SRR11286494,G1,U2OS
SRR11286495,G1,U2OS
SRR11286496,G2M,U2OS
SRR11286497,S,U2OS
SRR11286498,S,U2OS
SRR11286499,G2M,U2OS
SRR11286500,G2M,U2OS
SRR11286502,G2M,U2OS
SRR11286504,S,U2OS
SRR11286505,S,U2OS
SRR11286506,G1,U2OS
SRR11286507,G1,U2OS
SRR11286508,S,U2OS
SRR11286509,G2M,U2OS
SRR11286510,S,U2OS
SRR11286511,G1,U2OS
SRR11286512,S,U2OS
SRR11286513,G2M,U2OS
SRR11286514,S,U2OS
SRR11286515,G2M,U2OS
SRR11286516,G1,U2OS
SRR11286517,G1,U2OS
SRR11286518,G2M,U2OS
SRR11286519,G2M,U2OS
SRR11286520,G1,U2OS
SRR11286521,G2M,U2OS
SRR11286522,S,U2OS
SRR11286523,G1,U2OS
SRR11286524,G2M,U2OS
SRR11286525,S,U2OS
SRR11286526,S,U2OS
SRR11286527,G2M,U2OS
SRR11286528,G1-G0 transition,U2OS
SRR11286529,G1,U2OS
SRR11286530,G1,U2OS
SRR11286531,S,U2OS
SRR11286532,G1,U2OS
SRR11286533,G2M,U2OS
SRR11286534,G2M,U2OS
SRR11286535,S,U2OS
SRR11286536,G1,U2OS
SRR11286537,G2M,U2OS
SRR11286538,G2M,U2OS
SRR11286539,G2M,U2OS
SRR11286540,G2M,U2OS
SRR11286541,G1-G0 transition,U2OS
SRR11286542,G1-G0 transition,U2OS
SRR11286543,S,U2OS
SRR11286544,G2M,U2OS
SRR11286545,G1,U2OS
SRR11286546,S,U2OS
SRR11286547,G1,U2OS
SRR11286549,S,U2OS
SRR11286550,G1,U2OS
SRR11286551,G2M,U2OS
SRR11286552,G2M,U2OS
SRR11286553,G1-G0 transition,U2OS
SRR11286554,G1-G0 transition,U2OS
SRR11286555,G2M,U2OS
SRR11286556,G2M,U2OS
SRR11286558,S,U2OS
SRR11286559,S,U2OS
SRR11286560,S,U2OS
SRR11286561,G1,U2OS
SRR11286562,G2M,U2OS
SRR11286563,S,U2OS
SRR11286564,S,U2OS
SRR11286565,G1,U2OS
SRR11286566,G1,U2OS
SRR11286568,G1,U2OS
SRR11286569,G2M,U2OS
SRR11286570,G1,U2OS
SRR11286571,G2M,U2OS
SRR11286572,G2M,U2OS
SRR11286573,G1,U2OS
SRR11286574,G2M,U2OS
SRR11286575,G1,U2OS
SRR11286576,G2M,U2OS
SRR11286577,G2M,U2OS
SRR11286578,G2M,U2OS
SRR11286579,G1-G0 transition,U2OS
SRR11286580,G1,U2OS
SRR11286581,G1,U2OS
SRR11286582,S,U2OS
SRR11286583,G2M,U2OS
SRR11286584,G1-G0 transition,U2OS
SRR11286585,G2M,U2OS
SRR11286586,G2M,U2OS
SRR11286587,G2M,U2OS
SRR11286590,G1,U2OS
SRR11286593,G2M,U2OS
SRR11286594,S,U2OS
SRR11286595,S,U2OS
SRR11286596,S,U2OS
SRR11286597,G2M,U2OS
SRR11286599,G1,U2OS
SRR11286600,G2M,U2OS
SRR11286601,G1,U2OS
SRR11286602,S,U2OS
SRR11286603,S,U2OS
SRR11286604,G1,U2OS
SRR11286605,S,U2OS
SRR11286606,S,U2OS
SRR11286607,G1,U2OS
SRR11286608,S,U2OS
SRR11286609,G1,U2OS
SRR11286610,G2M,U2OS
SRR11286611,S,U2OS
SRR11286613,G2M,U2OS
SRR11286614,G2M,U2OS
SRR11286615,G2M,U2OS
SRR11286616,G2M,U2OS
SRR11286617,G1,U2OS
SRR11286618,S,U2OS
SRR11286619,G2M,U2OS
SRR11286620,S,U2OS
SRR11286621,G1,U2OS
SRR11286622,S,U2OS
SRR11286623,G1,U2OS
SRR11286624,G2M,U2OS
SRR11286625,G2M,U2OS
SRR11286626,G2M,U2OS
SRR11286628,G1-G0 transition,U2OS
SRR11286629,G1,U2OS
SRR11286630,G2M,U2OS
SRR11286631,G1,U2OS
SRR11286633,S,U2OS
SRR11286634,G1,U2OS
SRR11286635,G2M,U2OS
SRR11286636,S,U2OS
SRR11286638,G2M,U2OS
SRR11286639,G2M,U2OS
SRR11286640,G2M,U2OS
SRR11286641,G1-G0 transition,U2OS
SRR11286642,S,U2OS
SRR11286643,G2M,U2OS
SRR11286644,G2M,U2OS
SRR11286645,G2M,U2OS
SRR11286647,S,U2OS
SRR11286649,S,U2OS
SRR11286650,G1,U2OS
SRR11286651,G1,U2OS
SRR11286652,G2M,U2OS
SRR11286653,G1,U2OS
SRR11286654,S,U2OS
SRR11286656,S,U2OS
SRR11286657,G2M,U2OS
SRR11286658,G1,U2OS
SRR11286659,S,U2OS
SRR11286661,G2M,U2OS
SRR11286662,G2M,U2OS
SRR11286663,G2M,U2OS
SRR11286664,G1-G0 transition,U2OS
SRR11286665,G1,U2OS
SRR11286666,G2M,U2OS
SRR11286667,G1,U2OS
SRR11286668,S,U2OS
SRR11286669,G1,U2OS
SRR11286670,S,U2OS
SRR11286671,G1,U2OS
SRR11286672,G1,U2OS
SRR11286673,G2M,U2OS
SRR11286674,G1,U2OS
SRR11286675,G2M,U2OS
SRR11286676,G2M,U2OS
SRR11286677,S,U2OS
SRR11286678,G1,U2OS
SRR11286679,G2M,U2OS
SRR11286680,S,U2OS
SRR11286681,S,U2OS
SRR11286683,S,U2OS
SRR11286684,S,U2OS
SRR11286685,S,U2OS
SRR11286686,S,U2OS
SRR11286687,S,U2OS
SRR11286688,G1,U2OS
SRR11286689,G2M,U2OS
SRR11286690,G2M,U2OS
SRR11286691,G1-G0 transition,U2OS
SRR11286693,G2M,U2OS
SRR11286694,S,U2OS
SRR11286695,G1,U2OS
SRR11286696,G1,U2OS
SRR11286697,G1,U2OS
SRR11286698,G1-G0 transition,U2OS
SRR11286699,S,U2OS
SRR11286700,G1,U2OS
SRR11286702,S,U2OS
SRR11286703,G1,U2OS
SRR11286704,G1,U2OS
SRR11286705,S,U2OS
SRR11286706,S,U2OS
SRR11286707,S,U2OS
SRR11286708,G1-G0 transition,U2OS
SRR11286709,S,U2OS
SRR11286711,S,U2OS
SRR11286712,G2M,U2OS
SRR11286713,G1,U2OS
SRR11286714,S,U2OS
SRR11286715,G1,U2OS
SRR11286716,G2M,U2OS
SRR11286717,G2M,U2OS
SRR11286718,G1,U2OS
SRR11286719,G2M,U2OS
SRR11286722,G1,U2OS
SRR11286723,G2M,U2OS
SRR11286724,S,U2OS
SRR11286725,S,U2OS
SRR11286726,G2M,U2OS
SRR11286727,G2M,U2OS
SRR11286728,G1,U2OS
SRR11286729,G1,U2OS
SRR11286730,G2M,U2OS
SRR11286731,G1-G0 transition,U2OS
SRR11286732,G1-G0 transition,U2OS
SRR11286733,S,U2OS
SRR11286734,S,U2OS
SRR11286735,S,U2OS
SRR11286737,G1,U2OS
SRR11286738,S,U2OS
SRR11286739,S,U2OS
SRR11286740,S,U2OS
SRR11286741,G2M,U2OS
SRR11286742,G1,U2OS
SRR11286743,G1,U2OS
SRR11286744,G1-G0 transition,U2OS
SRR11286745,G2M,U2OS
SRR11286746,G1,U2OS
SRR11286747,G1,U2OS
SRR11286748,G1,U2OS
SRR11286749,G1,U2OS
SRR11286750,G1,U2OS
SRR11286751,G1,U2OS
SRR11286753,G1,U2OS
SRR11286754,G1,U2OS
SRR11286755,G1,U2OS
SRR11286756,G1,U2OS
SRR11286757,G1,U2OS
SRR11286758,G1-G0 transition,U2OS
SRR11286759,G1,U2OS
SRR11286760,G1-G0 transition,U2OS
SRR11286761,G1,U2OS
SRR11286763,G1,U2OS
SRR11286764,G1,U2OS
SRR11286765,G1,U2OS
SRR11286766,G1,U2OS
SRR11286767,G1-G0 transition,U2OS
SRR11286768,G1,U2OS
SRR11286769,G1,U2OS
SRR11286770,G1,U2OS
SRR11286771,G1,U2OS
SRR11286772,G1,U2OS
SRR11286773,G1-G0 transition,U2OS
SRR11286774,G1-G0 transition,U2OS
SRR11286775,G1,U2OS
SRR11286776,G1,U2OS
SRR11286777,G1,U2OS
SRR11286778,G1,U2OS
SRR11286779,G1,U2OS
SRR11286780,G1,U2OS
SRR11286781,G1-G0 transition,U2OS
SRR11286782,G1,U2OS
SRR11286783,G1,U2OS
SRR11286784,G1-G0 transition,U2OS
SRR11286785,G1-G0 transition,U2OS
SRR11286786,G1,U2OS
SRR11286787,G1,U2OS
SRR11286788,G1-G0 transition,U2OS
SRR11286789,G1,U2OS
SRR11286790,G1,U2OS
SRR11286791,G1,U2OS
SRR11286792,G1,U2OS
SRR11286793,G1-G0 transition,U2OS
SRR11286794,G1,U2OS
SRR11286795,G1-G0 transition,U2OS
SRR11286796,G1-G0 transition,U2OS
SRR11286797,G1,U2OS
SRR11286798,G1,U2OS
SRR11286799,G1,U2OS
SRR11286800,G1-G0 transition,U2OS
SRR11286801,G1,U2OS
SRR11286804,G1-G0 transition,U2OS
SRR11286805,G1-G0 transition,U2OS
SRR11286806,G1,U2OS
SRR11286807,G1-G0 transition,U2OS
SRR11286808,G1,U2OS
SRR11286809,G1,U2OS
SRR11286810,G1,U2OS
SRR11286811,G1,U2OS
SRR11286812,G1-G0 transition,U2OS
SRR11286813,G1,U2OS
SRR11286815,G1-G0 transition,U2OS
SRR11286816,G1,U2OS
SRR11286817,G1,U2OS
SRR11286818,S,U2OS
SRR11286819,S,U2OS
SRR11286820,S,U2OS
SRR11286821,S,U2OS
SRR11286822,S,U2OS
SRR11286823,S,U2OS
SRR11286824,S,U2OS
SRR11286825,S,U2OS
SRR11286826,S,U2OS
SRR11286827,S,U2OS
SRR11286828,S,U2OS
SRR11286829,S,U2OS
SRR11286830,S,U2OS
SRR11286831,S,U2OS
SRR11286832,S,U2OS
SRR11286833,S,U2OS
SRR11286834,S,U2OS
SRR11286835,S,U2OS
SRR11286836,S,U2OS
SRR11286837,S,U2OS
SRR11286838,S,U2OS
SRR11286839,S,U2OS
SRR11286840,S,U2OS
SRR11286841,S,U2OS
SRR11286842,S,U2OS
SRR11286843,S,U2OS
SRR11286844,S,U2OS
SRR11286845,S,U2OS
SRR11286846,S,U2OS
SRR11286847,S,U2OS
SRR11286848,S,U2OS
SRR11286851,S,U2OS
SRR11286852,G2M,U2OS
SRR11286854,G2M,U2OS
SRR11286855,G2M,U2OS
SRR11286856,G1,U2OS
SRR11286857,G2M,U2OS
SRR11286858,G1,U2OS
SRR11286859,G2M,U2OS
SRR11286861,S,U2OS
SRR11286862,G1,U2OS
SRR11286864,G1,U2OS
SRR11286865,S,U2OS
SRR11286867,S,U2OS
SRR11286868,S,U2OS
SRR11286869,G1-G0 transition,U2OS
SRR11286870,G1,U2OS
SRR11286871,G2M,U2OS
SRR11286876,S,U2OS
SRR11286877,G2M,U2OS
SRR11286878,G1,U2OS
SRR11286879,G1,U2OS
SRR11286880,G1,U2OS
SRR11286881,S,U2OS
SRR11286882,G2M,U2OS
SRR11286883,S,U2OS
SRR11286884,G1,U2OS
SRR11286885,G1,U2OS
SRR11286886,G2M,U2OS
SRR11286888,G2M,U2OS
SRR11286889,S,U2OS
SRR11286890,G2M,U2OS
SRR11286891,S,U2OS
SRR11286892,G1-G0 transition,U2OS
SRR11286893,G2M,U2OS
SRR11286894,G1,U2OS
SRR11286895,G1,U2OS
SRR11286896,G2M,U2OS
SRR11286897,S,U2OS
SRR11286899,S,U2OS
SRR11286900,G1-G0 transition,U2OS
SRR11286901,G1,U2OS
SRR11286902,G1,U2OS
SRR11286903,G1,U2OS
SRR11286904,S,U2OS
SRR11286905,G2M,U2OS
SRR11286907,G2M,U2OS
SRR11286910,G2M,U2OS
SRR11286911,G2M,U2OS
SRR11286912,S,U2OS
SRR11286913,S,U2OS
SRR11286914,S,U2OS
SRR11286915,G2M,U2OS
SRR11286916,G1-G0 transition,U2OS
SRR11286917,G2M,U2OS
SRR11286919,S,U2OS
SRR11286921,S,U2OS
SRR11286922,G1,U2OS
SRR11286923,G1,U2OS
SRR11286925,S,U2OS
SRR11286926,G2M,U2OS
SRR11286928,G2M,U2OS
SRR11286929,G1,U2OS
SRR11286930,G2M,U2OS
SRR11286932,G2M,U2OS
SRR11286934,G2M,U2OS
SRR11286935,G1,U2OS
SRR11286936,G2M,U2OS
SRR11286937,S,U2OS
SRR11286938,G1,U2OS
SRR11286939,G2M,U2OS
SRR11286940,G2M,U2OS
SRR11286941,S,U2OS
SRR11286942,G1,U2OS
SRR11286943,G2M,U2OS
SRR11286944,G2M,U2OS
SRR11286945,G1,U2OS
SRR11286946,G2M,U2OS
SRR11286947,S,U2OS
SRR11286948,G1,U2OS
SRR11286949,G1,U2OS
SRR11286952,S,U2OS
SRR11286953,G2M,U2OS
SRR11286954,G1,U2OS
SRR11286955,S,U2OS
SRR11286956,S,U2OS
SRR11286957,G2M,U2OS
SRR11286958,S,U2OS
SRR11286960,G2M,U2OS
SRR11286961,G2M,U2OS
SRR11286962,G2M,U2OS
SRR11286963,G2M,U2OS
SRR11286964,G2M,U2OS
SRR11286965,G2M,U2OS
SRR11286966,S,U2OS
SRR11286969,G2M,U2OS
SRR11286970,G2M,U2OS
SRR11286971,G1,U2OS
SRR11286972,G1,U2OS
SRR11286973,S,U2OS
SRR11286974,G2M,U2OS
SRR11286975,G1,U2OS
SRR11286977,S,U2OS
SRR11286978,G2M,U2OS
SRR11286979,G2M,U2OS
SRR11286980,G1-G0 transition,U2OS
SRR11286981,G1-G0 transition,U2OS
SRR11286982,G1,U2OS
SRR11286983,S,U2OS
SRR11286984,S,U2OS
SRR11286985,G1,U2OS
SRR11286986,G2M,U2OS
SRR11286987,G1-G0 transition,U2OS
SRR11286988,G1,U2OS
SRR11286990,G2M,U2OS
SRR11286991,G1-G0 transition,U2OS
SRR11286992,S,U2OS
SRR11286993,S,U2OS
SRR11286994,G2M,U2OS
SRR11286995,G1,U2OS
SRR11286996,G1-G0 transition,U2OS
SRR11286997,G1,U2OS
SRR11286998,S,U2OS
SRR11286999,G1,U2OS
SRR11287000,G1,U2OS
SRR11287001,G1,U2OS
SRR11287002,S,U2OS
SRR11287003,S,U2OS
SRR11287004,G2M,U2OS
SRR11287005,G1,U2OS
SRR11287006,G2M,U2OS
SRR11287007,G1-G0 transition,U2OS
SRR11287008,S,U2OS
SRR11287009,G1,U2OS
SRR11287010,G2M,U2OS
SRR11287011,G2M,U2OS
SRR11287012,G1,U2OS
SRR11287013,G2M,U2OS
SRR11287014,G1,U2OS
SRR11287015,G2M,U2OS
SRR11287018,G2M,U2OS
SRR11287019,S,U2OS
SRR11287020,S,U2OS
SRR11287021,G2M,U2OS
SRR11287022,G2M,U2OS
SRR11287023,G2M,U2OS
SRR11287024,S,U2OS
SRR11287025,G1,U2OS
SRR11287026,G1-G0 transition,U2OS
SRR11287027,G2M,U2OS
SRR11287028,G2M,U2OS
SRR11287029,S,U2OS
SRR11287030,G2M,U2OS
SRR11287031,G2M,U2OS
SRR11287032,G1,U2OS
SRR11287033,G1-G0 transition,U2OS
SRR11287034,G2M,U2OS
SRR11287036,G1,U2OS
SRR11287037,G1,U2OS
SRR11287038,S,U2OS
SRR11287039,S,U2OS
SRR11287040,G2M,U2OS
SRR11287041,G2M,U2OS
SRR11287043,S,U2OS
SRR11287044,G1,U2OS
SRR11287045,G2M,U2OS
SRR11287046,S,U2OS
SRR11287049,S,U2OS
SRR11287051,S,U2OS
SRR11287052,G2M,U2OS
SRR11287053,G2M,U2OS
SRR11287054,S,U2OS
SRR11287055,G1,U2OS
SRR11287056,G2M,U2OS
SRR11287057,G1,U2OS
SRR11287058,G2M,U2OS
SRR11287060,G1,U2OS
SRR11287061,G1,U2OS
SRR11287062,G2M,U2OS
SRR11287063,G1-G0 transition,U2OS
SRR11287064,S,U2OS
SRR11287065,S,U2OS
SRR11287066,S,U2OS
SRR11287067,G2M,U2OS
SRR11287068,G2M,U2OS
SRR11287070,G1,U2OS
SRR11287072,S,U2OS
SRR11287073,G1-G0 transition,U2OS
SRR11287074,S,U2OS
SRR11287075,G2M,U2OS
SRR11287076,G1-G0 transition,U2OS
SRR11287077,G2M,U2OS
SRR11287078,S,U2OS
SRR11287079,S,U2OS
SRR11287080,G1-G0 transition,U2OS
SRR11287081,G2M,U2OS
SRR11287082,S,U2OS
SRR11287083,S,U2OS
SRR11287085,G2M,U2OS
SRR11287087,G1,U2OS
SRR11287088,S,U2OS
SRR11287089,S,U2OS
SRR11287092,S,U2OS
SRR11287093,G1-G0 transition,U2OS
SRR11287094,S,U2OS
SRR11287095,S,U2OS
SRR11287096,G1-G0 transition,U2OS
SRR11287097,G1,U2OS
SRR11287098,S,U2OS
SRR11287099,G2M,U2OS
SRR11287100,S,U2OS
SRR11287101,G2M,U2OS
SRR11287102,S,U2OS
SRR11287103,G1,U2OS
SRR11287104,S,U2OS
SRR11287105,G1,U2OS
SRR11287106,S,U2OS
SRR11287107,G2M,U2OS
SRR11287108,S,U2OS
SRR11287109,G2M,U2OS
SRR11287110,S,U2OS
SRR11287112,G2M,U2OS
SRR11287113,G2M,U2OS
SRR11287114,G2M,U2OS
SRR11287115,G2M,U2OS
SRR11287116,G2M,U2OS
SRR11287117,S,U2OS
SRR11287118,S,U2OS
SRR11287119,G1-G0 transition,U2OS
SRR11287120,S,U2OS
SRR11287121,G1,U2OS
SRR11287122,G2M,U2OS
SRR11287123,G1,U2OS
SRR11287124,S,U2OS
SRR11287125,G2M,U2OS
SRR11287126,S,U2OS
SRR11287127,G2M,U2OS
SRR11287129,G1-G0 transition,U2OS
SRR11287130,G1,U2OS
SRR11287131,G1,U2OS
SRR11287132,S,U2OS
SRR11287133,S,U2OS
SRR11287134,G1,U2OS
SRR11287135,S,U2OS
SRR11287136,G2M,U2OS
SRR11287137,G1,U2OS
SRR11287138,G2M,U2OS
SRR11287139,S,U2OS
SRR11287140,G1,U2OS
SRR11287141,G2M,U2OS
SRR11287142,S,U2OS
SRR11287143,G1-G0 transition,U2OS
SRR11287144,S,U2OS
SRR11287145,G2M,U2OS
SRR11287147,G1,U2OS
SRR11287148,G2M,U2OS
SRR11287149,G2M,U2OS
SRR11287150,G1,U2OS
SRR11287151,G2M,U2OS
SRR11287153,S,U2OS
SRR11287154,G1-G0 transition,U2OS
SRR11287156,G2M,U2OS
SRR11287157,G2M,U2OS
SRR11287158,G2M,U2OS
SRR11287159,S,U2OS
SRR11287160,G1,U2OS
SRR11287161,G2M,U2OS
SRR11287162,G2M,U2OS
SRR11287163,G1,U2OS
SRR11287164,S,U2OS
SRR11287165,G1,U2OS
SRR11287166,G2M,U2OS
SRR11287167,G2M,U2OS
SRR11287170,S,U2OS
SRR11287171,G1,U2OS
SRR11287172,G1,U2OS
SRR11287173,G2M,U2OS
SRR11287174,S,U2OS
SRR11287175,S,U2OS
SRR11287176,G2M,U2OS
SRR11287177,G2M,U2OS
SRR11287178,G2M,U2OS
SRR11287179,G1,U2OS
SRR11287180,G1,U2OS
SRR11287181,G2M,U2OS
SRR11287182,G1,U2OS
SRR11287183,G1,U2OS
SRR11287184,G2M,U2OS
SRR11287186,S,U2OS
SRR11287187,S,U2OS
SRR11287188,S,U2OS
SRR11287189,G1,U2OS
SRR11287190,G2M,U2OS
SRR11287191,S,U2OS
SRR11287192,G2M,U2OS
SRR11287193,G1,U2OS
SRR11287194,G2M,U2OS
SRR11287195,S,U2OS
SRR11287196,G1,U2OS
SRR11287197,G1,U2OS
SRR11287198,G2M,U2OS
SRR11287199,S,U2OS
SRR11287200,G2M,U2OS
SRR11287202,G2M,U2OS
SRR11287203,G2M,U2OS
SRR11287204,G1-G0 transition,U2OS
SRR11287205,S,U2OS
SRR11287206,G2M,U2OS
SRR11287207,S,U2OS
SRR11287208,S,U2OS
SRR11287209,G2M,U2OS
SRR11287210,G2M,U2OS
SRR11287211,G2M,U2OS
SRR11287212,G2M,U2OS
SRR11287213,G2M,U2OS
SRR11287214,S,U2OS
SRR11287215,G1,U2OS
SRR11287216,G2M,U2OS
SRR11287217,S,U2OS
SRR11287218,S,U2OS
SRR11287219,S,U2OS
SRR11287220,S,U2OS
SRR11287222,S,U2OS
SRR11287223,G2M,U2OS
SRR11287224,G1,U2OS
SRR11287225,S,U2OS
SRR11287227,G2M,U2OS
SRR11287228,G1-G0 transition,U2OS
SRR11287229,G1-G0 transition,U2OS
SRR11287230,G2M,U2OS
SRR11287231,G1,U2OS
SRR11287232,G2M,U2OS
SRR11287233,G1-G0 transition,U2OS
SRR11287234,G2M,U2OS
SRR11287236,S,U2OS
SRR11287237,G2M,U2OS
SRR11287238,G2M,U2OS
SRR11287239,S,U2OS
SRR11287240,G2M,U2OS
SRR11287241,G1-G0 transition,U2OS
SRR11287242,G1,U2OS
SRR11287243,G1-G0 transition,U2OS
SRR11287245,S,U2OS
SRR11287246,G2M,U2OS
SRR11287247,S,U2OS
SRR11287248,G2M,U2OS
SRR11287249,S,U2OS
SRR11287250,S,U2OS
SRR11287252,G1-G0 transition,U2OS
SRR11287254,G1,U2OS
SRR11287255,S,U2OS
SRR11287256,G1,U2OS
SRR11287257,G2M,U2OS
SRR11287258,G2M,U2OS
SRR11287259,S,U2OS
SRR11287260,S,U2OS
SRR11287261,G2M,U2OS
SRR11287262,S,U2OS
SRR11287263,S,U2OS
SRR11287265,G2M,U2OS
SRR11287266,S,U2OS
SRR11287267,G1-G0 transition,U2OS
SRR11287270,S,U2OS
SRR11287271,G1,U2OS
SRR11287272,G1,U2OS
SRR11287273,G2M,U2OS
SRR11287274,G2M,U2OS
SRR11287275,S,U2OS
SRR11287276,G2M,U2OS
SRR11287277,G2M,U2OS
SRR11287278,G2M,U2OS
SRR11287279,G1,U2OS
SRR11287280,S,U2OS
SRR11287281,G2M,U2OS
SRR11287282,S,U2OS
SRR11287283,S,U2OS
SRR11287284,G2M,U2OS
SRR11287285,S,U2OS
SRR11287286,S,U2OS
SRR11287287,G1,U2OS
SRR11287288,G2M,U2OS
SRR11287290,G2M,U2OS
SRR11287291,G2M,U2OS
SRR11287292,G2M,U2OS
SRR11287293,G2M,U2OS
SRR11287294,S,U2OS
SRR11287295,G1,U2OS
SRR11287296,S,U2OS
SRR11287297,G2M,U2OS
SRR11287298,G2M,U2OS
SRR11287301,S,U2OS
SRR11287302,G2M,U2OS
SRR11287303,S,U2OS
SRR11287305,S,U2OS
SRR11287306,S,U2OS
SRR11287307,S,U2OS
SRR11287308,G1,U2OS
SRR11287309,G1,U2OS
SRR11287310,S,U2OS
SRR11287311,G1,U2OS
SRR11287312,G1,U2OS
SRR11287313,G2M,U2OS
SRR11287314,S,U2OS
SRR11287315,G2M,U2OS
SRR11287317,G2M,U2OS
SRR11287318,G1,U2OS
SRR11287319,G2M,U2OS
SRR11287320,G1-G0 transition,U2OS
SRR11287322,G2M,U2OS
SRR11287323,G1,U2OS
SRR11287324,G2M,U2OS
SRR11287325,G2M,U2OS
SRR11287326,G1,U2OS
SRR11287327,S,U2OS
SRR11287328,G2M,U2OS
SRR11287329,G2M,U2OS
SRR11287330,G1-G0 transition,U2OS
SRR11287331,G1,U2OS
SRR11287332,S,U2OS
SRR11287333,G1,U2OS
SRR11287334,S,U2OS
SRR11287335,G2M,U2OS
SRR11287336,G2M,U2OS
SRR11287339,S,U2OS
SRR11287340,S,U2OS
SRR11287341,G1,U2OS
SRR11287342,G1,U2OS
SRR11287343,G1,U2OS
SRR11287344,S,U2OS
SRR11287345,G2M,U2OS
SRR11287346,G2M,U2OS
SRR11287348,G1,U2OS
SRR11287349,G1,U2OS
SRR11287350,S,U2OS
SRR11287351,G2M,U2OS
SRR11287352,G1,U2OS
SRR11287353,G1,U2OS
SRR11287354,G1,U2OS
SRR11287355,S,U2OS
SRR11287356,S,U2OS
SRR11287358,G1,U2OS
SRR11287359,G2M,U2OS
SRR11287360,G2M,U2OS
SRR11287361,G2M,U2OS
SRR11287362,G2M,U2OS
SRR11287363,G2M,U2OS
SRR11287364,G1,U2OS
SRR11287365,G1-G0 transition,U2OS
SRR11287366,G2M,U2OS
SRR11287367,G2M,U2OS
SRR11287368,S,U2OS
SRR11287369,S,U2OS
SRR11287370,G2M,U2OS
SRR11287371,G1,U2OS
SRR11287372,G2M,U2OS
SRR11287373,G2M,U2OS
SRR11287374,S,U2OS
SRR11287376,G2M,U2OS
SRR11287377,G2M,U2OS
SRR11287378,G2M,U2OS
SRR11287379,G1,U2OS
SRR11287380,G1-G0 transition,U2OS
SRR11287381,S,U2OS
SRR11287383,S,U2OS
SRR11287384,G1,U2OS
SRR11287385,G2M,U2OS
SRR11287386,S,U2OS
SRR11287387,G1,U2OS
SRR11287388,G2M,U2OS
SRR11287389,G2M,U2OS
