,Gene_stable_ID,human_genes,mouse_genes,Mouse_gene_stable_ID
1645,ENSG00000150361,KLHL1,Klhl1,ENSMUSG00000022076
1655,ENSG00000122034,GTF3A,Gtf3a,ENSMUSG00000016503
1662,ENSG00000178127,NDUFV2,Ndufv2,ENSMUSG00000024099
1687,ENSG00000120690,ELF1,Elf1,ENSMUSG00000036461
1695,ENSG00000154889,MPPE1,Mppe1,ENSMUSG00000062526
1696,ENSG00000136155,SCEL,Scel,ENSMUSG00000022123
1719,ENSG00000150893,FREM2,Frem2,ENSMUSG00000037016
1724,ENSG00000136111,TBC1D4,Tbc1d4,ENSMUSG00000033083
1726,ENSG00000101489,CELF4,Celf4,ENSMUSG00000024268
1737,ENSG00000136158,SPRY2,Spry2,ENSMUSG00000022114
1740,ENSG00000120686,UFM1,Ufm1,ENSMUSG00000027746
1753,ENSG00000102554,KLF5,Klf5,ENSMUSG00000005148
1759,ENSG00000174015,CBY2,Cby2,ENSMUSG00000034913
1767,ENSG00000134882,UBAC2,Ubac2,ENSMUSG00000041765
1768,ENSG00000133119,RFC3,Rfc3,ENSMUSG00000033970
1777,ENSG00000231824,AKAIN1,Akain1,ENSMUSG00000091636
1778,ENSG00000132874,SLC14A2,Slc14a2,ENSMUSG00000024552
1780,ENSG00000152192,POU4F1,Pou4f1,ENSMUSG00000048349
1783,ENSG00000182957,SPATA13,Spata13,ENSMUSG00000021990
1786,ENSG00000017797,RALBP1,Ralbp1,ENSMUSG00000024096
1810,ENSG00000141380,SS18,Ss18,ENSMUSG00000037013
1811,ENSG00000159261,CLDN14,Cldn14,ENSMUSG00000047109
1817,ENSG00000241837,ATP5PO,Atp5po,ENSMUSG00000022956
1823,ENSG00000188811,NHLRC3,Nhlrc3,ENSMUSG00000042997
1829,ENSG00000154645,CHODL,Chodl,ENSMUSG00000022860
1831,ENSG00000102837,OLFM4,Olfm4,ENSMUSG00000022026
1838,ENSG00000065150,IPO5,Ipo5,ENSMUSG00000030662
1859,ENSG00000160307,S100B,S100b,ENSMUSG00000033208
1862,ENSG00000156273,BACH1,Bach1,ENSMUSG00000025612
1883,ENSG00000157557,ETS2,Ets2,ENSMUSG00000022895
1899,ENSG00000101745,ANKRD12,Ankrd12,ENSMUSG00000034647
1915,ENSG00000152242,ARK2N,Ark2n,ENSMUSG00000047466
1927,ENSG00000157551,KCNJ15,Kcnj15,ENSMUSG00000062609
1928,ENSG00000154839,SKA1,Ska1,ENSMUSG00000036223
1929,ENSG00000139734,DIAPH3,Diaph3,ENSMUSG00000022021
1961,ENSG00000141425,RPRD1A,Rprd1a,ENSMUSG00000040446
1962,ENSG00000205758,CRYZL1,Cryzl1,ENSMUSG00000058240
1963,ENSG00000152214,RIT2,Rit2,ENSMUSG00000057455
1971,ENSG00000134489,HRH4,Hrh4,ENSMUSG00000037346
1972,ENSG00000101773,RBBP8,Rbbp8,ENSMUSG00000041238
1974,ENSG00000156239,N6AMT1,N6amt1,ENSMUSG00000044442
2016,ENSG00000154736,ADAMTS5,Adamts5,ENSMUSG00000022894
2066,ENSG00000252963,RN7SKP147,Gm54681,ENSMUSG00002076531
2067,ENSG00000198445,CCT8L2,Cct8l1,ENSMUSG00000038044
2073,ENSG00000223078,RNU2-55P,Gm22946,ENSMUSG00000089183
2086,ENSG00000283904,MIR155,Mir155,ENSMUSG00000065397
2094,ENSG00000283300,U6,Gm24878,ENSMUSG00000089407
2095,ENSG00000283300,U6,Gm24839,ENSMUSG00000084551
2111,ENSG00000157617,C2CD2,C2cd2,ENSMUSG00000045975
2116,ENSG00000168234,TTC39C,Ttc39c,ENSMUSG00000024424
2130,ENSG00000118946,PCDH17,Pcdh17,ENSMUSG00000035566
2143,ENSG00000152484,USP12,Usp12,ENSMUSG00000029640
2159,ENSG00000141639,MAPK4,Mapk4,ENSMUSG00000024558
2165,ENSG00000173276,ZBTB21,Zbtb21,ENSMUSG00000046962
2175,ENSG00000120688,WBP4,Wbp4,ENSMUSG00000022023
2187,ENSG00000141622,ARK2C,Ark2c,ENSMUSG00000025427
2189,ENSG00000099917,MED15,Med15,ENSMUSG00000012114
2196,ENSG00000180440,SERTM1,Sertm1,ENSMUSG00000056306
2219,ENSG00000159228,CBR1,Cbr1,ENSMUSG00000051483
2220,ENSG00000159228,CBR1,Gm5678,ENSMUSG00000082815
2222,ENSG00000139514,SLC7A1,Slc7a1,ENSMUSG00000041313
2223,ENSG00000177511,ST8SIA3,St8sia3,ENSMUSG00000056812
2224,ENSG00000176641,RNF152,Rnf152,ENSMUSG00000047496
2228,ENSG00000159231,CBR3,Cbr3,ENSMUSG00000022947
2229,ENSG00000166510,CCDC68,Ccdc68,ENSMUSG00000038903
2231,ENSG00000088386,SLC15A1,Slc15a1,ENSMUSG00000025557
2233,ENSG00000159216,RUNX1,Runx1,ENSMUSG00000022952
2258,ENSG00000175387,SMAD2,Smad2,ENSMUSG00000024563
2297,ENSG00000166979,EVA1C,Eva1c,ENSMUSG00000039903
2320,ENSG00000150907,FOXO1,Foxo1,ENSMUSG00000044167
2321,ENSG00000159079,CFAP298,Cfap298,ENSMUSG00000022972
2328,ENSG00000041353,RAB27B,Rab27b,ENSMUSG00000024511
2329,ENSG00000136152,COG3,Cog3,ENSMUSG00000034893
2333,ENSG00000091164,TXNL1,Txnl1,ENSMUSG00000024583
2358,ENSG00000136141,LRCH1,Lrch1,ENSMUSG00000068015
2366,ENSG00000134030,CTIF,Ctif,ENSMUSG00000052928
2372,ENSG00000242220,TCP10L,Tcp10a,ENSMUSG00000071322
2373,ENSG00000242220,TCP10L,Tcp10c,ENSMUSG00000052469
2374,ENSG00000242220,TCP10L,Tcp10b,ENSMUSG00000055602
2377,ENSG00000099985,OSM,Osm,ENSMUSG00000058755
2381,ENSG00000154640,BTG3,Btg3,ENSMUSG00000022863
2388,ENSG00000185721,DRG1,Drg1,ENSMUSG00000020457
2398,ENSG00000102543,CDADC1,Cdadc1,ENSMUSG00000021982
2399,ENSG00000141441,GAREM1,Garem1,ENSMUSG00000042680
2400,ENSG00000184900,SUMO3,Sumo3,ENSMUSG00000020265
2419,ENSG00000083520,DIS3,Dis3,ENSMUSG00000033166
2420,ENSG00000154719,MRPL39,Mrpl39,ENSMUSG00000022889
2423,ENSG00000184828,ZBTB7C,Zbtb7c,ENSMUSG00000044646
2428,ENSG00000176635,HORMAD2,Hormad2,ENSMUSG00000020419
2437,ENSG00000155307,SAMSN1,Samsn1,ENSMUSG00000022876
2438,ENSG00000100365,NCF4,Ncf4,ENSMUSG00000071715
2441,ENSG00000205670,SMIM11,Smim11,ENSMUSG00000051989
2444,ENSG00000141665,FBXO15,Fbxo15,ENSMUSG00000034391
2449,ENSG00000159263,SIM2,Sim2,ENSMUSG00000062713
2456,ENSG00000133103,COG6,Cog6,ENSMUSG00000027742
2472,ENSG00000183145,RIPPLY3,Ripply3,ENSMUSG00000022941
2475,ENSG00000198089,SFI1,Sfi1,ENSMUSG00000023764
2480,ENSG00000160208,RRP1B,Rrp1b,ENSMUSG00000058392
2482,ENSG00000081138,CDH7,Cdh7,ENSMUSG00000026312
2483,ENSG00000160209,PDXK,Pdxk,ENSMUSG00000032788
2484,ENSG00000134779,TPGS2,Tpgs2,ENSMUSG00000024269
2486,ENSG00000102802,MEDAG,Medag,ENSMUSG00000029659
2489,ENSG00000134871,COL4A2,Col4a2,ENSMUSG00000031503
2492,ENSG00000160214,RRP1,Rrp1,ENSMUSG00000061032
2499,ENSG00000166603,MC4R,Mc4r,ENSMUSG00000047259
2521,ENSG00000184564,SLITRK6,Slitrk6,ENSMUSG00000045871
2522,ENSG00000166479,TMX3,Tmx3,ENSMUSG00000024614
2531,ENSG00000184226,PCDH9,Pcdh9,ENSMUSG00000055421
2544,ENSG00000160216,AGPAT3,Agpat3,ENSMUSG00000001211
2582,ENSG00000100346,CACNA1I,Cacna1i,ENSMUSG00000022416
2611,ENSG00000101542,CDH20,Cdh20,ENSMUSG00000050840
2615,ENSG00000160218,TRAPPC10,Trappc10,ENSMUSG00000000374
2635,ENSG00000175354,PTPN2,Ptpn2,ENSMUSG00000024539
2643,ENSG00000132950,ZMYM5,Zmym5,ENSMUSG00000040123
2645,ENSG00000241945,PWP2,Pwp2,ENSMUSG00000032834
2649,ENSG00000182968,SOX1,Sox1,ENSMUSG00000096014
2651,ENSG00000175664,TEX26,Tex26,ENSMUSG00000029660
2662,ENSG00000041515,MYO16,Myo16,ENSMUSG00000039057
2663,ENSG00000157540,DYRK1A,Dyrk1a,ENSMUSG00000022897
2672,ENSG00000081913,PHLPP1,Phlpp1,ENSMUSG00000044340
2673,ENSG00000100354,TNRC6B,Tnrc6b,ENSMUSG00000047888
2681,ENSG00000071991,CDH19,Cdh19,ENSMUSG00000047216
2687,ENSG00000187498,COL4A1,Col4a1,ENSMUSG00000031502
2730,ENSG00000175329,ISX,Isx,ENSMUSG00000031621
2745,ENSG00000100294,MCAT,Mcat,ENSMUSG00000048755
2774,ENSG00000176177,ENTHD1,Enthd1,ENSMUSG00000050439
2779,ENSG00000141428,C18orf21,2700062C07Rik,ENSMUSG00000024273
2780,ENSG00000128342,LIF,Lif,ENSMUSG00000034394
2782,ENSG00000141956,PRDM15,Prdm15,ENSMUSG00000014039
2783,ENSG00000100307,CBX7,Cbx7,ENSMUSG00000053411
2786,ENSG00000171873,ADRA1D,Adra1d,ENSMUSG00000027335
2791,ENSG00000101282,RSPO4,Rspo4,ENSMUSG00000032852
2792,ENSG00000134504,KCTD1,Kctd1,ENSMUSG00000036225
2793,ENSG00000125903,DEFB129,Defb23,ENSMUSG00000074681
2794,ENSG00000100344,PNPLA3,Pnpla3,ENSMUSG00000041653
2795,ENSG00000101280,ANGPT4,Angpt4,ENSMUSG00000027460
2805,ENSG00000186976,EFCAB6,Efcab6,ENSMUSG00000022441
2806,ENSG00000141424,SLC39A6,Slc39a6,ENSMUSG00000024270
2811,ENSG00000171984,SHLD1,Shld1,ENSMUSG00000044991
2822,ENSG00000198081,ZBTB14,Zbtb14,ENSMUSG00000049672
2832,ENSG00000149346,SLX4IP,Slx4ip,ENSMUSG00000027281
2839,ENSG00000185950,IRS2,Irs2,ENSMUSG00000038894
2846,ENSG00000178591,DEFB125,Defb26,ENSMUSG00000074680
2849,ENSG00000153498,SPACA7,Spaca7,ENSMUSG00000010435
2853,ENSG00000125820,NKX2-2,Nkx2-2,ENSMUSG00000027434
2855,ENSG00000166573,GALR1,Galr1,ENSMUSG00000024553
2857,ENSG00000125845,BMP2,Bmp2,ENSMUSG00000027358
2874,ENSG00000101327,PDYN,Pdyn,ENSMUSG00000027400
2882,ENSG00000054611,TBC1D22A,Tbc1d22a,ENSMUSG00000051864
2883,ENSG00000198795,ZNF521,Zfp521,ENSMUSG00000024420
2887,ENSG00000133115,STOML3,Stoml3,ENSMUSG00000027744
2890,ENSG00000125898,FAM110A,Fam110a,ENSMUSG00000027459
2899,ENSG00000088448,ANKRD10,Ankrd10,ENSMUSG00000031508
2903,ENSG00000173404,INSM1,Insm1,ENSMUSG00000068154
2911,ENSG00000185982,DEFB128,Defb20,ENSMUSG00000049560
2912,ENSG00000154059,IMPACT,Impact,ENSMUSG00000024423
2936,ENSG00000204442,NALF1,Nalf1,ENSMUSG00000079157
2939,ENSG00000184497,TMEM255B,Tmem255b,ENSMUSG00000038457
2941,ENSG00000132640,BTBD3,Btbd3,ENSMUSG00000062098
2945,ENSG00000141668,CBLN2,Cbln2,ENSMUSG00000024647
2948,ENSG00000160199,PKNOX1,Pknox1,ENSMUSG00000006705
2954,ENSG00000175198,PCCA,Pcca,ENSMUSG00000041650
2977,ENSG00000160200,CBS,Cbs,ENSMUSG00000024039
2978,ENSG00000125816,NKX2-4,Nkx2-4,ENSMUSG00000054160
2982,ENSG00000089063,TMEM230,Tmem230,ENSMUSG00000027341
3009,ENSG00000100426,ZBED4,Zbed4,ENSMUSG00000034333
3022,ENSG00000100316,RPL3,Rpl3,ENSMUSG00000060036
3036,ENSG00000126216,TUBGCP3,Tubgcp3,ENSMUSG00000000759
3038,ENSG00000125851,PCSK2,Pcsk2,ENSMUSG00000027419
3041,ENSG00000197971,MBP,Mbp,ENSMUSG00000041607
3049,ENSG00000125815,CST8,Cst8,ENSMUSG00000027442
3050,ENSG00000075218,GTSE1,Gtse1,ENSMUSG00000022385
3057,ENSG00000160202,CRYAA,Cryaa,ENSMUSG00000024041
3058,ENSG00000101230,ISM1,Ism1,ENSMUSG00000074766
3060,ENSG00000160201,U2AF1,U2af1,ENSMUSG00000061613
3071,ENSG00000101463,SYNDIG1,Syndig1,ENSMUSG00000074736
3072,ENSG00000184708,EIF4ENIF1,Eif4enif1,ENSMUSG00000020454
3079,ENSG00000185974,GRK1,Grk1,ENSMUSG00000031450
3085,ENSG00000088930,XRN2,Xrn2,ENSMUSG00000027433
3092,ENSG00000152193,OBI1,Obi1,ENSMUSG00000022120
3108,ENSG00000122042,UBL3,Ubl3,ENSMUSG00000001687
3114,ENSG00000185917,SETD4,Setd4,ENSMUSG00000022948
3123,ENSG00000125870,SNRPB2,Snrpb2,ENSMUSG00000008333
3124,ENSG00000122025,FLT3,Flt3,ENSMUSG00000042817
3128,ENSG00000101493,ZNF516,Zfp516,ENSMUSG00000058881
3138,ENSG00000077984,CST7,Cst7,ENSMUSG00000068129
3141,ENSG00000154080,CHST9,Chst9,ENSMUSG00000047161
3146,ENSG00000134884,ARGLU1,Arglu1,ENSMUSG00000040459
3149,ENSG00000101474,APMAP,Apmap,ENSMUSG00000033096
3155,ENSG00000152767,FARP1,Farp1,ENSMUSG00000025555
3159,ENSG00000125864,BFSP1,Bfsp1,ENSMUSG00000027420
3161,ENSG00000134490,TMEM241,Tmem241,ENSMUSG00000049411
3171,ENSG00000173638,SLC19A1,Slc19a1,ENSMUSG00000001436
3195,ENSG00000100347,SAMM50,Samm50,ENSMUSG00000022437
3196,ENSG00000182871,COL18A1,Col18a1,ENSMUSG00000001435
3202,ENSG00000125868,DSTN,Dstn,ENSMUSG00000015932
3205,ENSG00000125834,STK35,Stk35,ENSMUSG00000037885
3209,ENSG00000215397,SCRT2,Scrt2,ENSMUSG00000060257
3215,ENSG00000198646,NCOA6,Ncoa6,ENSMUSG00000038369
3216,ENSG00000075234,TTC38,Ttc38,ENSMUSG00000035944
3223,ENSG00000179813,FAM216B,Fam216b,ENSMUSG00000045655
3229,ENSG00000134759,ELP2,Elp2,ENSMUSG00000024271
3238,ENSG00000207500,SNORD102,Gm25091,ENSMUSG00000077185
3239,ENSG00000207051,SNORA27,Gm23202,ENSMUSG00000077564
3244,ENSG00000278172,Metazoa_SRP,Gm22701,ENSMUSG00000093112
3279,ENSG00000100372,SLC25A17,Slc25a17,ENSMUSG00000022404
3283,ENSG00000206922,RNU6-80P,Gm25390,ENSMUSG00000087966
3304,ENSG00000206812,RNU6-38P,Gm55060,ENSMUSG00002076182
3313,ENSG00000201847,SNORD31B,Gm23246,ENSMUSG00000065305
3347,ENSG00000136156,ITM2B,Itm2b,ENSMUSG00000022108
3349,ENSG00000172296,SPTLC3,Sptlc3,ENSMUSG00000039092
3353,ENSG00000100106,TRIOBP,Triobp,ENSMUSG00000033088
3365,ENSG00000204977,TRIM13,Trim13,ENSMUSG00000035235
3379,ENSG00000183844,FAM3B,Fam3b,ENSMUSG00000022938
3388,ENSG00000198553,KCNRG,Kcnrg,ENSMUSG00000046168
3393,ENSG00000215547,DEFB115,Defb28,ENSMUSG00000074679
3398,ENSG00000283785,MIR15A,Mir15a,ENSMUSG00000093007
3417,ENSG00000136104,RNASEH2B,Rnaseh2b,ENSMUSG00000021932
3427,ENSG00000154734,ADAMTS1,Adamts1,ENSMUSG00000022893
3432,ENSG00000100304,TTLL12,Ttll12,ENSMUSG00000016757
3434,ENSG00000159055,MIS18A,Mis18a,ENSMUSG00000022978
3436,ENSG00000150637,CD226,Cd226,ENSMUSG00000034028
3444,ENSG00000170262,MRAP,Mrap,ENSMUSG00000039956
3453,ENSG00000160193,WDR4,Wdr4,ENSMUSG00000024037
3454,ENSG00000186654,PRR5,Prr5,ENSMUSG00000036106
3460,ENSG00000101695,RNF125,Rnf125,ENSMUSG00000033107
3461,ENSG00000101384,JAG1,Jag1,ENSMUSG00000027276
3470,ENSG00000197563,PIGN,Pign,ENSMUSG00000056536
3472,ENSG00000160194,NDUFV3,Ndufv3,ENSMUSG00000024038
3474,ENSG00000089057,SLC23A2,Slc23a2,ENSMUSG00000027340
3476,ENSG00000154727,GABPA,Gabpa,ENSMUSG00000008976
3480,ENSG00000198355,PIM3,Pim3,ENSMUSG00000035828
3481,ENSG00000159212,CLIC6,Clic6,ENSMUSG00000022949
3483,ENSG00000205593,DENND6B,Dennd6b,ENSMUSG00000015377
3484,ENSG00000185808,PIGP,Pigp,ENSMUSG00000022940
3486,ENSG00000101435,CST9L,Cstdc2,ENSMUSG00000027446
3487,ENSG00000101435,CST9L,Cst9,ENSMUSG00000027445
3497,ENSG00000159197,KCNE2,Kcne2,ENSMUSG00000039672
3504,ENSG00000100422,CERK,Cerk,ENSMUSG00000035891
3523,ENSG00000089123,TASP1,Tasp1,ENSMUSG00000039033
3534,ENSG00000180205,WFDC9,Wfdc9,ENSMUSG00000074594
3535,ENSG00000100239,PPP6R2,Ppp6r2,ENSMUSG00000036561
3544,ENSG00000149639,SOGA1,Soga1,ENSMUSG00000055485
3559,ENSG00000180305,WFDC10A,Wfdc10,ENSMUSG00000070529
3563,ENSG00000159082,SYNJ1,Synj1,ENSMUSG00000022973
3566,ENSG00000101445,PPP1R16B,Ppp1r16b,ENSMUSG00000037754
3603,ENSG00000101452,DHX35,Dhx35,ENSMUSG00000027655
3608,ENSG00000150510,FAM124A,Fam124a,ENSMUSG00000035184
3618,ENSG00000189167,ZAR1L,Zar1l,ENSMUSG00000056586
3628,ENSG00000139597,N4BP2L1,N4bp2l1,ENSMUSG00000041132
3631,ENSG00000185272,RBM11,Rbm11,ENSMUSG00000032940
3633,ENSG00000183530,PRR14L,Prr14l,ENSMUSG00000054280
3634,ENSG00000155304,HSPA13,Hspa13,ENSMUSG00000032932
3635,ENSG00000188636,RTL6,Rtl6,ENSMUSG00000055745
3639,ENSG00000183527,PSMG1,Psmg1,ENSMUSG00000022913
3640,ENSG00000133477,FAM83F,Fam83f,ENSMUSG00000022408
3648,ENSG00000100362,PVALB,Pvalb,ENSMUSG00000005716
3650,ENSG00000124191,TOX2,Tox2,ENSMUSG00000074607
3660,ENSG00000133111,RFXAP,Rfxap,ENSMUSG00000036615
3661,ENSG00000182858,ALG12,Alg12,ENSMUSG00000035845
3662,ENSG00000133107,TRPC4,Trpc4,ENSMUSG00000027748
3668,ENSG00000064655,EYA2,Eya2,ENSMUSG00000017897
3672,ENSG00000100321,SYNGR1,Syngr1,ENSMUSG00000022415
3682,ENSG00000100095,SEZ6L,Sez6l,ENSMUSG00000058153
3718,ENSG00000180083,WFDC11,Wfdc11,ENSMUSG00000078940
3720,ENSG00000062598,ELMO2,Elmo2,ENSMUSG00000017670
3721,ENSG00000122035,RASL11A,Rasl11a,ENSMUSG00000029641
3733,ENSG00000223336,RNU2-6P,Gm24623,ENSMUSG00000064550
3734,ENSG00000223336,RNU2-6P,Gm22073,ENSMUSG00000084617
3735,ENSG00000223336,RNU2-6P,Gm25259,ENSMUSG00000064982
3745,ENSG00000080618,CPB2,Cpb2,ENSMUSG00000021999
3751,ENSG00000075643,MOCOS,Mocos,ENSMUSG00000039616
3758,ENSG00000136167,LCP1,Lcp1,ENSMUSG00000021998
3762,ENSG00000166342,NETO1,Neto1,ENSMUSG00000050321
3772,ENSG00000215475,SIAH3,Siah3,ENSMUSG00000091722
3774,ENSG00000133313,CNDP2,Cndp2,ENSMUSG00000024644
3776,ENSG00000100360,IFT27,Ift27,ENSMUSG00000016637
3783,ENSG00000102452,NALCN,Nalcn,ENSMUSG00000000197
3785,ENSG00000100311,PDGFB,Pdgfb,ENSMUSG00000000489
3793,ENSG00000186732,MPPED1,Mpped1,ENSMUSG00000041708
3795,ENSG00000042062,RIPOR3,Ripor3,ENSMUSG00000074577
3823,ENSG00000158480,SPATA2,Spata2,ENSMUSG00000047030
3826,ENSG00000138964,PARVG,Parvg,ENSMUSG00000022439
3831,ENSG00000101447,FAM83D,Fam83d,ENSMUSG00000027654
3836,ENSG00000171587,DSCAM,Dscam,ENSMUSG00000050272
3841,ENSG00000197496,SLC2A10,Slc2a10,ENSMUSG00000027661
3842,ENSG00000150656,CNDP1,Cndp1,ENSMUSG00000056162
3845,ENSG00000158445,KCNB1,Kcnb1,ENSMUSG00000050556
3848,ENSG00000124249,KCNK15,Kcnk15,ENSMUSG00000035238
3851,ENSG00000149654,CDH22,Cdh22,ENSMUSG00000053166
3853,ENSG00000175820,CCDC168,Ccdc168,ENSMUSG00000091844
3855,ENSG00000151287,TEX30,Tex30,ENSMUSG00000026049
3861,ENSG00000124226,RNF114,Rnf114,ENSMUSG00000006418
3885,ENSG00000182240,BACE2,Bace2,ENSMUSG00000040605
3890,ENSG00000128791,TWSG1,Twsg1,ENSMUSG00000024098
3893,ENSG00000100290,BIK,Bik,ENSMUSG00000016758
3902,ENSG00000134897,BIVM,Bivm,ENSMUSG00000041684
3905,ENSG00000206052,DOK6,Dok6,ENSMUSG00000073514
3910,ENSG00000100271,TTLL1,Ttll1,ENSMUSG00000022442
3912,ENSG00000080189,SLC35C2,Slc35c2,ENSMUSG00000017664
3914,ENSG00000150477,KIAA1328,AW554918,ENSMUSG00000033632
3928,ENSG00000183087,GAS6,Gas6,ENSMUSG00000031451
3932,ENSG00000183421,RIPK4,Ripk4,ENSMUSG00000005251
3960,ENSG00000160179,ABCG1,Abcg1,ENSMUSG00000024030
3961,ENSG00000130943,PKDREJ,Pkdrej,ENSMUSG00000052496
3973,ENSG00000100124,ANKRD54,Ankrd54,ENSMUSG00000033055
3987,ENSG00000251897,RNU6-916P,Gm25101,ENSMUSG00000119035
3994,ENSG00000136159,NUDT15,Nudt15,ENSMUSG00000033405
4007,ENSG00000136146,MED4,Med4,ENSMUSG00000022109
4011,ENSG00000251719,RNU6-408P,Gm54543,ENSMUSG00002076026
4036,ENSG00000207797,MIR187,Mir187,ENSMUSG00000065532
4040,ENSG00000253038,RNU6-706P,Gm23167,ENSMUSG00000087780
4051,ENSG00000183943,PRKX,Prkx,ENSMUSG00000035725
4058,ENSG00000206746,RNU6-142P,Gm24207,ENSMUSG00000064715
4070,ENSG00000207072,RNU6-39P,Gm22623,ENSMUSG00000118726
4078,ENSG00000139687,RB1,Rb1,ENSMUSG00000022105
4090,ENSG00000124151,NCOA3,Ncoa3,ENSMUSG00000027678
4096,ENSG00000100300,TSPO,Tspo,ENSMUSG00000041736
4103,ENSG00000102683,SGCG,Sgcg,ENSMUSG00000035296
4104,ENSG00000078043,PIAS2,Pias2,ENSMUSG00000025423
4110,ENSG00000139746,RBM26,Rbm26,ENSMUSG00000022119
4123,ENSG00000160181,TFF2,Tff2,ENSMUSG00000024028
4130,ENSG00000160182,TFF1,Tff1,ENSMUSG00000024032
